Location,Ground GS ID,Onboard GS ID,ITU (india) filing Station ID,Latitude (deg),Longitude (deg),Altitude (m),GS Provider
"Svalbard, Norway",NOR01,0,SVALBARD01,78.2315,15.4111,484,KSAT
"Punta Arenas, Chile",CHL01,1,CHL01,-52.93635,-70.87012,186,"KSAT, LS"
"Awarua, New Zealand",NZL01,2,AWARUA01,-46.51805,168.384722,16,"KSAT, LS"
"Troll Station, Antarctica",ATA01,3,TROLL01,-72.00266,2.525274,1365,KSAT
"Mon Loisir, Mauritius",MAU01,4,MAU01,-20.139125,57.68700833,5,"KSAT, LS"
"Mingenew, Australia",AUS01,5,MINGENEW01,-29.010029,115.341705,242,KSAT
"Inuvik, Canada",CAN01,6,INUVIK01,68.32554,-133.61255,42,"KSAT, LS"
"Jeju, South Korea",KOR01,7,JEJU01,23.04633333,126.3174389,236.6,"KSAT, LS"
"Haartebeesthok, South Africa",AFS01,8,HART01,-25.88599,27.7056,1543,"KSAT, LS"
"Tromso, Norway",NOR02,9,TROMSO01,69.6632,18.9494,106,KSAT
Singapore,SNG01,10,SNG01,1.3961,103.835,5,KSAT
"Hawaii, United States",HWA01,11,USA01,20.817253,-156.454836,10,KSAT
"Fairbanks, United States",ALS01,12,USA02,64.81775,-147.71913,5,KSAT
"Puertollano, Spain",EXX01,13,PUERT01,38.67271,-4.16205,685,KSAT
"Kandy, Sri Lanka",CLN01,14,CLN01,7.2946286,80.5845816,462,LS
"Santa Maria, Portugal",AZR01,15,AZORES01,36.99755,-25.1373,194,LS
"Unst, Scotland",GXX01,16,UNST01,60.7483,-0.85838,19,LS
"Absheron, Azerbaijan",AZE01,17,AZER01,40.46627,49.4858,210,LS
"Plana, Bulgaria",BUL01,18,BUL01,42.48294,23.44527,1106,LS
"La Paz, Mexico",MEX01,19,MEX01,24.1051,-110.3719444,3.2,LS
"Maspalomas, Spain",EXX02,20,MASP01,27.7671,-15.6364,188,KSAT
"Longwood, St. Helena",SHN01,21,,-15.9446072,-5.6847274,5,LS
"Vimercate, Italy",IXX01,22,IT01,45.59333333,9.36222222,177,LS
"Blonduos, Iceland",ISL01,23,IS01,65.6365535,-20.2610036,53,LS
"Pretoria, South Africa",AFS02,24,ZA01,-28.45377778,25.86033333,1392,LS
